source_id,source_url,source_type,title,publisher_or_authority,document_date,retrieved_at,document_hash,redistribution_status,notes
SRC-SUDACT-A41-17841-2024-AP1,https://sudact.ru/arbitral/doc/eBPzWNLjO1mK/,judicial_act_aggregator,"Постановление от 24 сентября 2024 г. по делу № А41-17841/2024",СудАкт.ру,2024-09-24,2026-08-17T06:52:00Z,,link_only,"Discovery source; verify against official court/KAD record before CROSS_VERIFIED"
SRC-SUDACT-A41-21723-2024-FI,https://sudact.ru/arbitral/doc/bbeBoLrOjuLj/,judicial_act_aggregator,"Решение от 30 июня 2024 г. по делу № А41-21723/2024",СудАкт.ру,2024-06-30,2026-08-17T06:52:00Z,,link_only,"Discovery source; verify against official court/KAD record"
SRC-SUDACT-A41-22619-2024-FI,https://sudact.ru/arbitral/doc/fJklcGBHVFrO/,judicial_act_aggregator,"Решение от 13 июня 2024 г. по делу № А41-22619/2024",СудАкт.ру,2024-06-13,2026-08-17T06:52:00Z,,link_only,"Discovery source; fire at Shushary explicitly described"
SRC-SUDACT-A41-22938-2024-FI,https://sudact.ru/arbitral/doc/qNaCfsyp1N5K/,judicial_act_aggregator,"Решение от 30 мая 2024 г. по делу № А41-22938/2024",СудАкт.ру,2024-05-30,2026-08-17T06:52:00Z,,link_only,"Discovery source; fire at Shushary explicitly described"
SRC-SUDACT-A41-26529-2024-FI,https://sudact.ru/arbitral/doc/UerKIYh2Pnxt/,judicial_act_aggregator,"Решение от 29 мая 2024 г. по делу № А41-26529/2024",СудАкт.ру,2024-05-29,2026-08-17T06:52:00Z,,link_only,"Discovery source; fire at Shushary explicitly described"
SRC-SUDACT-A41-30285-2024-FI,https://sudact.ru/arbitral/doc/EujIKKI3mINX/,judicial_act_aggregator,"Решение от 2 июля 2024 г. по делу № А41-30285/2024",СудАкт.ру,2024-07-02,2026-08-17T06:52:00Z,,link_only,"Discovery source; acceptance acts and quantity dispute visible in source"
SRC-SUDACT-A41-35926-2024-FI,https://sudact.ru/arbitral/doc/0c4suKgX2vYX/,judicial_act_aggregator,"Решение от 15 июля 2024 г. по делу № А41-35926/2024",СудАкт.ру,2024-07-15,2026-08-17T06:52:00Z,,link_only,"Discovery source; parties reconciled destroyed quantity in source"
SRC-SUDACT-A41-38250-2024-FI,https://sudact.ru/arbitral/doc/4Rh0A92SnLZl/,judicial_act_aggregator,"Решение от 3 июля 2024 г. по делу № А41-38250/2024",СудАкт.ру,2024-07-03,2026-08-17T06:52:00Z,,link_only,"Discovery source; evidentiary rejection of transfer proof visible in source"
SRC-SUDACT-A41-38320-2024-FI,https://sudact.ru/arbitral/doc/K0dWPFqek2bl/,judicial_act_aggregator,"Решение от 27 марта 2025 г. по делу № А41-38320/2024",СудАкт.ру,2025-03-27,2026-08-17T06:52:00Z,,link_only,"Discovery source; large claim and valuation dispute visible in source"
SRC-SUDACT-A41-62484-2024-FI,https://sudact.ru/arbitral/doc/7ReSlW4d0XVO/,judicial_act_aggregator,"Решение от 2 октября 2024 г. по делу № А41-62484/2024",СудАкт.ру,2024-10-02,2026-08-17T06:52:00Z,,link_only,"Discovery source; acceptance procedure and inventory table visible in source"
SRC-SUDACT-A41-64014-2024-FI,https://sudact.ru/arbitral/doc/5bqjMg8paHZT/,judicial_act_aggregator,"Решение от 24 сентября 2024 г. по делу № А41-64014/2024",СудАкт.ру,2024-09-24,2026-08-17T06:52:00Z,,link_only,"Discovery source; WB report and deduction formula dispute visible in source"
SRC-SUDACT-A41-65092-2024-FI,https://sudact.ru/arbitral/doc/4osTEYhbKcLv/,judicial_act_aggregator,"Решение от 25 октября 2024 г. по делу № А41-65092/2024",СудАкт.ру,2024-10-25,2026-08-17T06:52:00Z,,link_only,"Discovery source; long acceptance-act chain and warehouse inventory visible in source"
SRC-SUDACT-A41-69635-2024-FI,https://sudact.ru/arbitral/doc/56eLcFC4YEWr/,judicial_act_aggregator,"Решение от 27 ноября 2024 г. по делу № А41-69635/2024",СудАкт.ру,2024-11-27,2026-08-17T06:52:00Z,,link_only,"Discovery source; real-loss/lost-profit distinction and WB counter-calculation visible in source"
SRC-SUDACT-A41-100622-2024-FI,https://sudact.ru/arbitral/doc/zJuTQXd46OQF/,judicial_act_aggregator,"Решение от 11 марта 2025 г. по делу № А41-100622/2024",СудАкт.ру,2025-03-11,2026-08-17T06:52:00Z,,link_only,"Discovery source; quantity counter-calculation dispute visible in source"
